GCSE Pass Average %,% split,% Rate of Absence,Gender
83.22010998,97.56097561,5.6,Boys
83.1948901,100,3.911111111,Girls
83.1743492,92.62023217,4.822222222,Boys
83.02258662,98.82179676,4.633333333,Girls
82.94474683,96.26417612,4.888888889,Boys
82.76620393,99.37759336,5.866666667,Boys
82.57113817,90.21237304,5.488888889,Girls
82.31253441,99.36305732,5.577777778,Girls
82.18938341,100,5.744444444,Girls
81.88073347,91.58291457,5.2,Boys
81.81113269,100,5.911111111,Girls
81.77277625,93.59073359,3.7,Girls
81.27088576,100,5.311111111,Girls
80.80003406,100,5.755555556,Girls
80.77064694,99.27007299,5.366666667,Girls
80.69550288,100,5.455555556,Girls
80.62658403,100,5.577777778,Girls
80.47101958,95.5955956,5.188888889,Boys
80.46405936,100,7.322222222,Boys
80.37672037,91.04638619,5.555555556,Boys
80.36887468,99.00221729,6.466666667,Boys
80.31959808,99.11764706,4.133333333,Girls
80.28210525,100,6.588888889,Girls
79.95716046,100,5.377777778,Boys
79.89500231,100,4.411111111,Girls
79.80502293,100,5.033333333,Boys
79.73492539,100,5.22,Boys
79.60375239,99.41520468,6.222222222,Girls
79.37217242,92.45283019,4.844444444,Girls
78.93168085,100,5.422222222,Girls
78.76549438,100,5.155555556,Girls
78.44840529,100,5.3,Boys
78.33913785,100,6.044444444,Girls
77.96977896,100,6.088888889,Girls
77.9024054,100,6.255555556,Boys
77.75583277,98.84858952,5.2875,Girls
77.65366916,100,5.6,Girls
77.62783665,100,5.866666667,Girls
77.59291867,100,4.5,Girls
77.55106813,100,7.242857143,Boys
77.44967233,93.30097087,6.044444444,Boys
77.36997252,100,5.277777778,Girls
77.34461328,92.32081911,6.377777778,Girls
77.2920264,100,6.111111111,Boys
77.17066879,100,5.533333333,Girls
77.13211761,100,5.288888889,Boys
77.12826065,100,6.7,Girls
76.88069487,100,4.68,Girls
76.67697351,100,5.988888889,Girls
76.6078227,100,6.233333333,Boys
76.55346506,90.43026706,3.5,Boys
76.54515631,98.18304172,5.922222222,Girls
76.50127348,93.65337673,5.944444444,Girls
76.37085985,99.92846924,5.733333333,Girls
76.06535371,100,5.933333333,Boys
76.02107641,100,8.857142857,Girls
75.75039096,100,6.1,Girls
75.31181799,100,5.411111111,Girls
75.26983974,97.02315325,4.522222222,Boys
75.16939256,98.16810345,5.655555556,Boys
75.16203223,99.25650558,5.066666667,Boys
75.10556003,100,6.58,Girls
75.00520259,100,5.966666667,Girls
74.93687327,98.92682927,5.155555556,Boys
74.88380083,100,6.766666667,Girls
74.71641136,100,6.744444444,Girls
74.64377937,100,5.122222222,Boys
74.31912527,99.41234084,5.622222222,Boys
74.2385367,100,5.488888889,Girls
73.98841402,100,5.744444444,Girls
73.85905065,94.52861953,6.477777778,Girls
73.50733586,100,4.911111111,Girls
73.38258684,100,5.788888889,Girls
73.30923241,100,6.955555556,Girls
73.29274728,100,6.811111111,Girls
73.2626399,96.55172414,6.422222222,Boys
73.19903265,96.39945652,6.222222222,Girls
72.97459085,97.01314217,5.155555556,Girls
72.88230436,93.69834711,5.344444444,Girls
72.51285062,100,7.1,Girls
71.90043731,93.29529244,6.444444444,Girls
71.59416557,100,6.355555556,Boys
71.48721236,100,5.955555556,Girls
71.41565912,100,4.475,Girls
71.29937681,100,6.48,Girls
71.17026102,99.30795848,5.322222222,Boys
71.05871315,100,6.455555556,Girls
70.97907488,99.20371599,6.055555556,Girls
70.78700042,100,5.011111111,Boys
70.63055637,93.02600473,4.811111111,Boys
70.42782236,100,6,Boys
70.01270584,100,6.077777778,Boys
69.60521383,100,7.944444444,Girls
69.47316334,99.88052569,6.144444444,Girls
69.42121689,97.08588957,5.066666667,Girls
69.40376777,97.51072961,6.455555556,Girls
69.07568566,100,5.5,Girls
68.78588145,98.13432836,6.088888889,Boys
68.56529919,100,6.166666667,Girls
68.12532567,100,5.066666667,Girls
68.04671762,100,5.966666667,Girls
66.72064535,99.07692308,7.188888889,Girls
66.71265552,98.15668203,7.122222222,Girls
66.70652376,99.01510177,7.666666667,Girls
66.65584625,98.94736842,6.466666667,Girls
66.633322,95.27202073,6.9,Girls
66.43998162,100,7.328571429,Boys
66.37550443,95.79224195,6.344444444,Boys
66.26900615,100,6.433333333,Girls
66.26536999,96.8579235,7.775,Girls
65.74018675,100,6.166666667,Girls
65.73291773,96.30723781,6.044444444,Boys
65.51244356,100,6.82,Boys
65.4922214,100,6.444444444,Girls
64.79192817,98.79154079,6.844444444,Boys
64.73883916,99.68847352,6.366666667,Girls
64.54434491,97.32724902,6.442857143,Boys
64.17835617,99.89959839,7.211111111,Boys
63.90024138,99.91776316,7.133333333,Girls
63.54153247,100,6,Girls
63.41342501,100,7.555555556,Girls
63.39562009,100,5.833333333,Girls
62.3798822,100,7.766666667,Boys
61.51556777,100,14.52222222,Boys
60.46220195,100,7.177777778,Girls
60.42637375,98.47764034,7.811111111,Girls
59.84919198,99.06542056,6.533333333,Boys
59.73640786,100,7.68,Girls
58.68288627,99.79296066,5.733333333,Girls
57.28400903,99.77703456,8.433333333,Boys
54.3503805,100,7.688888889,Boys
44.22222222,100,14.2,Boys
43.6342695,100,6.855555556,Boys
37.73809524,100,22.48888889,Boys
37.26325758,100,17.15555556,Boys
36.84807256,100,10.88888889,Girls
32.08874459,100,6.911111111,Boys
25.70861678,100,19.11428571,Boys
23.90473361,100,16.71428571,Boys
23.01476812,100,26.14444444,Boys
22.214809,100,21.18888889,Boys
22.01379517,100,15.98888889,Boys
20.76530612,100,19.96666667,Boys
18.60772768,92.62295082,15.75714286,Boys
16.83551198,90.24390244,15.66666667,Boys
16.59358289,100,22.21111111,Boys
16.37648066,100,24.51111111,Boys
15.67314426,100,20.71111111,Boys
15.13671786,100,17.44444444,Boys
14.11210317,93.75,22.36666667,Boys
13.78787879,100,34.9,Boys
10.67358567,100,24.15,Boys
10.55555556,100,12.4,Boys
10.26295133,100,21.42857143,Boys
9.686317509,100,14.08888889,Boys
9.455782313,100,32.35555556,Boys
9.285714286,100,21.02222222,Boys
8.095238095,100,25.2625,Boys
6.324404762,100,20.26666667,Boys
6.319444444,100,18.75,Boys
5.151515152,100,23.7,Boys
4.498936736,100,30.53333333,Boys
3.37962963,93.16239316,19.25555556,Boys
2.223102101,90.90909091,23.24444444,Boys
1.666666667,100,8.8,Girls
