Number of Pupils,GCSE Pass Average %,% Rate of Absence
336,17.5511063,9.244444444
336,2.398989899,8.322222222
339,79.98904979,5.944444444
339,64.9429545,8.033333333
341,7.426081544,8.833333333
345,2.56466379,24.3
346,54.3503805,7.688888889
348,73.62036559,7.344444444
348,57.94683532,7.911111111
349,16.88311688,8.411111111
354,78.82292063,6.211111111
356,18.17442974,8.977777778
360,68.30140355,7.111111111
362,63.43727289,10.33333333
363,81.17536825,5.8
364,43.78598927,9.366666667
380,57.5804591,7.611111111
384,92.47650124,5.311111111
387,62.73505351,8.1875
388,69.51464075,6.711111111
388,73.15467776,5.777777778
391,50.04321696,7.566666667
392,85.22968837,4.3375
392,26.09347542,10.82222222
392,62.3798822,7.766666667
396,60.73283567,7.744444444
398,63.72752677,6.977777778
399,8.814333814,8.711111111
400,13.23043185,9.844444444
401,53.68462864,10.2875
402,99.42912433,8.185714286
410,6.197569703,7.555555556
412,58.98013337,8.055555556
419,59.82483082,9.516666667
419,53.66295044,9.185714286
421,57.66544766,7.788888889
421,76.57188777,8.2375
422,49.79719847,8.733333333
424,2.836538462,8.533333333
431,60.6124599,8.071428571
432,61.8114519,6.622222222
436,2.777777778,8.588888889
438,69.35567299,8.055555556
439,50.78711505,8.255555556
439,66.87123075,7.411111111
440,55.25941655,8.666666667
445,53.92719135,9.433333333
445,74.07097461,8.116666667
448,58.57063474,8.42
448,84.99858772,4.366666667
449,59.70055659,8.911111111
449,64.82902265,7.377777778
450,64.03951956,9.283333333
452,67.20128786,7.111111111
452,79.50666208,7.146124807
454,70.02154583,6.3375
454,83.1948901,3.911111111
455,84.51832724,6.7125
456,51.47341796,7.088888889
460,62.4924651,6.155555556
463,76.39540127,5.833333333
468,75.10255963,7.511111111
469,65.18561553,7.144444444
470,67.50845169,9.9625
470,63.68856231,8.1
470,58.19320989,7.644444444
470,77.12826065,6.7
472,64.17242285,6.45
473,55.73028559,7.311111111
480,69.79849872,8.22
480,64.62065843,9.222222222
481,59.76160591,7.677777778
484,69.35166599,7.5875
487,71.70397091,8.783333333
488,55.78515956,9
495,62.9938542,12.36666667
498,61.55752521,10.73333333
499,69.67864652,5.311111111
500,66.13984836,7.255555556
501,56.21964675,7.8
501,63.37784695,8
503,52.31597545,8.4
504,70.3796639,6.844444444
509,67.60570805,8.133333333
509,58.0269865,7.3625
509,63.7251495,9.111111111
510,70.57719593,8.425
513,76.33209807,8.28
514,72.54432533,5.4375
516,64.1281953,7.377777778
517,54.48582424,9.166666667
518,53.34792817,7.325
522,62.74332758,7.7
522,53.09732474,7.744444444
524,65.42877197,8.188888889
524,61.35218523,7.177777778
525,63.63711181,6.488888889
525,69.88503035,5.488888889
526,76.53163052,6.6
