Ofsted Average,Number of Pupils,% Rate of Absence,% FSM,GCSE Pass Average %
1,1518,5.911111111,30.35454545,61.05239454
1,1128,5.155555556,13.97272727,78.76549438
2.5,582,7.044444444,20.93636364,54.6138594
3,857,8.7,32.83636364,59.22038933
2.666666667,1438,6.077777778,24.45454545,63.7264931
1,1307,5.522222222,45.04545455,87.3012423
1.5,1018,5.855555556,22.62727273,68.96758452
2.5,1011,6.588888889,31.71818182,60.46683614
2.333333333,2308,6.555555556,18.64545455,62.20993893
2.75,1065,5.555555556,28.20909091,67.6110803
2,1017,9.166666667,22.15454545,47.74468047
2.5,911,8.188888889,33.29090909,61.25388328
2,1278,6.822222222,17.46363636,78.57613484
2,1590,5.344444444,23.43636364,78.03694624
2,1335,6.622222222,13.82727273,64.2199119
2,1299,7.522222222,30.01818182,64.21922793
2.5,667,9.677777778,30.63636364,44.26623441
2.5,1186,6.755555556,15.72727273,64.85303858
1,1162,4.566666667,14.97272727,83.98401585
2.6,786,7.288888889,39.06363636,56.11379217
3,594,8.555555556,29.7,52.25155009
2,971,6.255555556,41.91818182,65.40841501
1,1511,3.022222222,20.75454545,81.2137022
1.5,1179,4.722222222,8.627272727,82.90870477
3.2,1022,7.2,26.91818182,58.66739334
1.5,1614,6.433333333,22.35454545,67.93563078
