cluster 1,cluster 2,without special schools
57.35684911,59.46619413,63.1646427
57.42112998,59.47889041,63.18716699
57.5804591,59.50704489,63.20144939
57.63437545,59.50849628,63.27279392
57.64625965,59.59122851,63.30905121
57.68359597,59.60888181,63.3587149
57.84517049,59.70055659,63.39562009
57.86823661,59.70810347,63.41342501
57.94884694,59.76160591,63.42021401
57.94892007,59.7775,63.45135858
58.00934647,59.81381638,63.54153247
58.0269865,59.84919198,63.58044584
58.14483565,59.90872036,63.63711181
58.15340794,59.98670994,63.67116086
58.16174662,59.98921587,63.70436221
58.16776229,59.99613187,63.7251495
58.19320989,59.99800008,63.7264931
58.24013483,60.00103679,63.73127804
58.33549994,60.06682511,63.77699046
58.5071386,60.08969366,63.81592773
58.57063474,60.1389932,63.87586213
58.57910595,60.21719845,63.89610159
58.63634256,60.22630476,63.90024138
58.63849271,60.2365559,63.92515707
58.67446218,60.25938991,63.93955337
58.68288627,60.30321817,63.94072377
58.71468269,60.3106331,63.94596233
58.81397094,60.3736925,63.95892527
58.84822568,60.42637375,63.97752192
58.8605323,60.46248786,64.00297571
58.91951387,60.46683614,64.00440142
58.98013337,60.50327805,64.0079435
59.0118257,60.514627,64.06521972
59.05858479,60.795139,64.0740554
59.06464738,60.82564855,64.0899956
59.0931992,60.82614969,64.09842156
59.12410229,60.89940343,64.15188913
59.15055733,60.93009143,64.20606175
59.39965445,60.94703891,64.21904758
59.4315197,60.97040007,64.21922793
59.50085725,61.05239454,64.2199119
59.50623154,61.08843692,64.31776128
59.58095482,61.15875316,64.33555253
59.58799696,61.19199487,64.39083847
59.61383249,61.23156316,64.41761196
59.61387064,61.25388328,64.4180871
59.61563531,61.27024641,64.42679502
59.67386584,61.46025116,64.44112841
59.71425222,61.51556777,64.45013311
59.72216799,61.54293342,64.48537564
59.73640786,61.56118522,64.48772828
59.82483082,61.6015838,64.49611426
59.88365113,61.62183275,64.51216889
59.94245579,61.62194969,64.51290495
59.98701847,61.76917076,64.54052703
60.01856596,61.89779385,64.59961092
60.03540711,61.92850864,64.66181172
60.08508351,62.10380577,64.73185087
60.08756905,62.17040323,64.75219666
60.0972341,62.1876805,64.77236401
60.103672,62.18813594,64.79192817
60.1071933,62.20993893,64.82902265
60.1376013,62.22223439,64.82980755
60.14051131,62.26677504,64.83051567
60.14083434,62.28469205,64.85303858
60.21872683,62.28718362,64.86772453
60.22647038,62.28854623,64.92524567
60.25079784,62.31410836,65.03322302
60.2804331,62.31478606,65.12560403
60.29468975,62.34187021,65.18561553
60.35022852,62.37818342,65.22685301
60.35117992,62.40411877,65.28170701
60.36900459,62.5048886,65.2850408
60.41799587,62.51012194,65.29821399
60.46220195,62.51538459,65.31734016
60.47789782,62.64419094,65.32002378
60.48651624,62.64741371,65.36530156
60.4910358,62.65822357,65.38414139
60.50217357,62.66992805,65.38889768
60.54944087,62.72144298,65.39219466
60.57864621,62.74332758,65.40841501
60.58140434,62.77167058,65.48972943
60.60760004,62.82977841,65.4922214
60.6124599,62.84745578,65.56626494
60.62540939,62.8647372,65.6075152
60.64122294,62.87185295,65.71034886
60.68329596,62.95887731,65.72540493
60.68995859,62.96489626,65.73291773
60.72609482,63.0119718,65.74018675
60.73283567,63.02796942,65.89852931
60.75859781,63.10797652,65.92861583
60.78032815,63.1646427,65.98506329
60.81109672,63.18716699,65.99396354
60.8356646,63.20144939,66.1127127
60.88061843,63.27279392,66.12200647
60.90176285,63.30905121,66.14081359
60.90777446,63.3587149,66.145079
60.91242976,63.39562009,66.18858357
60.96648051,63.41342501,66.27457123
61.04722598,63.42021401,66.28547342
61.04827349,63.45135858,66.2869739
61.19304992,63.54153247,66.36414773
61.2384424,63.58044584,66.39390717
61.24390514,63.63711181,66.3974531
61.25555345,63.67116086,66.41601109
61.26723039,63.70436221,66.45897487
61.35218523,63.7251495,66.4703898
61.35673992,63.7264931,66.49751012
61.36258518,63.73127804,66.52459239
61.37539051,63.77699046,66.56234841
61.39227361,63.81592773,66.61887999
61.40537025,63.87586213,66.62426948
61.40992581,63.89610159,66.65584625
61.43275353,63.90024138,66.66342647
61.45492713,63.92515707,66.71265552
61.45554299,63.93955337,66.72064535
61.53695936,63.94072377,66.72601779
61.55752521,63.94596233,66.74252344
61.56730495,63.95892527,66.75264898
61.58483708,63.97752192,66.75835453
61.61668929,64.00297571,66.82930904
61.65453912,64.00440142,66.87036283
61.68048967,64.0079435,66.87123075
61.68659574,64.06521972,66.88774879
61.70343066,64.0740554,66.9005581
61.76056889,64.0899956,66.90373603
61.78548694,64.09842156,66.92912549
61.80103367,64.15188913,66.97308454
61.80852068,64.20606175,67.06044766
61.8114519,64.21904758,67.13953524
61.81449294,64.21922793,67.20128786
61.81905678,64.2199119,67.20885985
61.84879828,64.31776128,67.23220514
61.89566184,64.33555253,67.44989213
61.95537429,64.39083847,67.520458
62.00836886,64.41761196,67.6110803
62.01653785,64.4180871,67.62907515
62.07199827,64.42679502,67.66200978
62.10017662,64.44112841,67.66237776
62.11716692,64.45013311,67.67288617
62.13627244,64.48537564,67.76466549
62.18226421,64.48772828,67.85989862
62.1837797,64.49611426,67.92704432
62.23352809,64.51216889,67.93563078
62.26358814,64.51290495,67.97372851
62.27278837,64.54052703,67.98373958
62.28617401,64.59961092,68.02784275
62.31335672,64.66181172,68.03351137
62.35338695,64.73185087,68.11606323
62.3798822,64.75219666,68.17150473
62.46278964,64.77236401,68.20344357
62.48886843,64.79192817,68.21861708
62.4924651,64.82902265,68.264616
62.52000001,64.82980755,68.34731414
62.52831817,64.83051567,68.37375826
62.61242221,64.85303858,68.43061585
62.62434992,64.86772453,68.45265016
62.66480744,64.92524567,68.54910377
62.6709934,65.03322302,68.63161173
62.73505351,65.12560403,68.72311913
62.75921698,65.18561553,68.78588145
62.77127853,65.22685301,68.81659651
62.78593255,65.28170701,68.86444248
62.79393745,65.2850408,68.88463112
62.79621508,65.29821399,68.91152529
62.80250022,65.31734016,68.96488179
62.81109088,65.32002378,68.96758452
62.85525103,65.36530156,68.97601361
62.87759681,65.38414139,69.04640846
62.92589855,65.38889768,69.08711019
62.95519792,65.39219466,69.09912859
62.98382212,65.40841501,69.11605988
62.9910855,65.48972943,69.12827732
62.9938542,65.4922214,69.12925805
63.01562174,65.56626494,69.16742505
63.06177573,65.6075152,69.35300866
63.16237004,65.71034886,69.35567299
63.18407063,65.72540493,69.38693192
63.20006077,65.73291773,69.39393707
63.21635328,65.74018675,69.39948382
63.22790922,65.89852931,69.40376777
63.2947575,65.92861583,69.42121689
63.35445664,65.98506329,69.4478401
63.37784695,65.99396354,69.50839523
63.41555471,66.1127127,69.51280615
63.42215153,66.12200647,69.51448314
63.42254935,66.14081359,69.51464075
63.43727289,66.145079,69.53743308
63.43878283,66.18858357,69.54335427
63.44727838,66.27457123,69.58810623
63.45177998,66.28547342,69.67864652
63.47294522,66.2869739,69.76230922
63.51591569,66.36414773,69.76763591
63.54465668,66.39390717,69.84893362
63.58156908,66.3974531,69.86927171
63.58282301,66.41601109,69.93083553
63.67285627,66.45897487,69.96040495
63.68856231,66.4703898,70.04154198
63.72752677,66.49751012,70.04580576
63.7767314,66.52459239,70.06693702
63.78220593,66.56234841,70.09948804
63.81897669,66.61887999,70.11275351
63.81935076,66.62426948,70.1897669
63.84485196,66.65584625,70.21636034
63.89332773,66.66342647,70.22757121
64.00591361,66.71265552,70.37173164
64.00733016,66.72064535,70.37987335
64.01947162,66.72601779,70.45400821
64.02149236,66.74252344,70.46741435
64.03951956,66.75264898,70.52999709
64.05143603,66.75835453,70.54765822
64.05326826,66.82930904,70.57812079
64.0649262,66.87036283,70.5945337
64.07099749,66.87123075,70.60107144
64.1281953,66.88774879,70.61669944
64.14067501,66.9005581,70.64330165
64.16522088,66.90373603,70.64748517
64.17242285,66.92912549,70.71373891
64.17835617,66.97308454,70.92694888
64.18640412,67.06044766,70.95031819
64.24222364,67.13953524,70.9554688
64.36242854,67.20128786,70.97110421
64.37419259,67.20885985,70.97907488
64.394113,67.23220514,70.99639326
64.40164133,67.44989213,71.01258938
64.40635418,67.520458,71.01984224
64.40690252,67.6110803,71.0231214
64.42783523,67.62907515,71.06020691
64.44805904,67.66200978,71.10673727
64.47430978,67.66237776,71.11810313
64.50834822,67.67288617,71.1503825
64.51004431,67.76466549,71.20153637
64.53056001,67.85989862,71.21283495
64.54434491,67.92704432,71.22195285
64.54965277,67.93563078,71.24558114
64.5712699,67.97372851,71.26661916
64.58431348,67.98373958,71.46179523
64.62065843,68.02784275,71.4769143
64.62357156,68.03351137,71.48721236
64.6577222,68.11606323,71.4905661
64.65915156,68.17150473,71.49990948
64.70087253,68.20344357,71.51434609
64.70412912,68.21861708,71.51588204
64.73883916,68.264616,71.52527753
64.74008632,68.34731414,71.61832026
64.7486348,68.37375826,71.68216775
64.80385603,68.43061585,71.76488794
64.83411163,68.45265016,71.76614045
64.85418829,68.54910377,71.82263477
64.9267152,68.63161173,71.93149464
64.9429545,68.72311913,71.96925196
64.94690759,68.78588145,71.96936468
64.96100898,68.81659651,71.98741309
64.97280384,68.86444248,72.00470025
64.98189468,68.88463112,72.01791196
65.00072891,68.91152529,72.05159974
65.02644122,68.96488179,72.08885249
65.07917153,68.96758452,72.14314614
65.08731672,68.97601361,72.20505674
65.08907932,69.04640846,72.21400537
65.10878519,69.08711019,72.25909124
65.1220404,69.09912859,72.26133235
65.13412166,69.11605988,72.29603697
65.15113467,69.12827732,72.33985707
65.16407611,69.12925805,72.354047
65.16555872,69.16742505,72.38777725
65.21090985,69.35300866,72.39761646
65.22135868,69.35567299,72.44258186
65.24202309,69.38693192,72.45348512
65.26664306,69.39393707,72.47649869
65.2681146,69.39948382,72.50318825
65.28184787,69.40376777,72.54255973
65.30895799,69.42121689,72.55501793
65.3495273,69.4478401,72.56541593
65.39771907,69.50839523,72.63337975
65.40894741,69.51280615,72.71057916
65.42877197,69.51448314,72.79813115
65.47171097,69.51464075,72.8012954
65.47355799,69.53743308,72.83230608
65.48507844,69.54335427,72.92583911
65.50346347,69.58810623,72.93202443
65.51244356,69.67864652,72.97459085
65.52932904,69.76230922,73.03253839
65.55895275,69.76763591,73.06714744
65.61662936,69.84893362,73.09589461
65.66396682,69.86927171,73.10011355
65.71050184,69.93083553,73.14802797
65.71957432,69.96040495,73.154552
65.74668955,70.04154198,73.16798885
65.75430024,70.04580576,73.18030738
65.76523542,70.06693702,73.1856949
65.82619908,70.09948804,73.18740389
65.85549009,70.11275351,73.19327134
65.87379201,70.1897669,73.25058832
65.87709792,70.21636034,73.26099113
65.90101301,70.22757121,73.2626399
